pm10	no2	so2	soot
38.55	28.32	6.66	11.78
35.22	21.15	6.74	11.72
35.08	22.86	6.01	11.72
14.13	24.45	6.69	13.83
26.9	23.79	6.19	10.06
26.42	23.18	5.86	11.76
25.55	22.66	6.27	9.94
24.72	29.09	5.37	9.88
24.3	26.79	7.62	11.47
33	23.97	6.64	13.41
39.1	26.85	5.86	14.65
39.9	35.82	9.62	21.47
43.88	35.65	12.82	18.76
19.8	19.72	8.46	12.41
16.14	25.78	8.8	12.44
28.26	29.59	9.99	19.47
27.4	31.21	8.14	15.47
29.5	30.46	11.25	15.2
23.46	24.69	9.61	12.33
21.88	20.78	5.95	8.07
22.22	20.37	6.23	8.2
32.64	24.6	6.61	9.6
22.43	22.31	7.02	10.27
31.55	26.72	7.48	14.87
26.78	20.26	7.98	12.67
20.76	22.14	6.29	15.4
22.54	25.35	9.79	13.2
22.8	26.78	14.43	15.47
22.84	24.56	10.26	13.38
20.12	31.52	12.34	15.69
26.96	28.74	8.62	15.59
29.81	37.69	10.55	17.41
33.81	40.25	12.85	16.65
36.69	29.36	10.74	17.41
32.39	29.31	9.98	16.12
39.43	29.75	12.45	17
28.03	32.13	8.86	15.61
30.86	30.39	10.69	16.94
26.66	26.24	11.36	14.22
37.3	29.73	11.28	14.94
25.03	25.01	7.86	12.94
30.74	26.12	9.66	16.33
40.13	33.4	10.09	16.47
32.59	28.88	11.85	14.82
39.64	28.58	10.31	15
20.83	26.17	11.19	11.82
28.54	32.23	23.59	18
48.53	32.14	14.24	20.69
29.03	23.97	13.76	14.18
22.21	27.06	8.75	12.35
28.64	28.99	23.01	12
31.69	32.25	22.52	16.65
34.53	32.42	15.62	14.76
24.18	26.38	9.29	16.65
28.19	26.32	9.97	15.18
29.04	27.55	8.8	15.29
21.97	22.58	6.97	14.79
29.04	31.53	6.91	14.71
35.63	27.62	9.34	14.93
41.81	29.75	11.67	14.4
69.53	32.77	11.23	15.63
42.53	25.58	10.41	13.94
42.53	29.81	12.11	16.5
39.23	36.12	12.56	16
28.99	26.33	10.06	17.56
22.91	25.27	9.77	16.31
35.2	27.39	10.26	15
35.09	30.68	12.62	17.53
41.63	31.86	13.6	17.12
39.66	31.08	14.67	17.06
42.29	34.13	15.88	16.44
31.47	29.55	12	14.72
35.87	28.64	12.6	16.94
47.53	31.16	11.79	16.94
45	35.64	17.41	15.71
47.07	25.69	19.21	14.53
38.98	24.47	13.61	13.41
31.24	31.14	17.41	16.75
66.71	35.09	23.1	19.94
49.47	35.56	19.12	16.18
55.66	36.25	16.55	15.11
44.61	24.32	18.67	12.28
41.51	21.75	16.98	14.78
38.43	29.37	15.77	14.44
37.39	28.89	15.62	16.56
38.39	37.66	17.53	17.72
47.4	40.41	15.73	16.17
69.69	44.59	18.16	24.82
53.41	37.72	14.33	17.76
68.9	38.92	14.4	25.88
53.39	34.11	16.4	19.53
143.43	29.96	16.16	14.65
224.65	36.62	15.26	19.61
214.46	35.23	13.5	19.39
181.77	34.55	14.63	18.67
164.65	32.48	13.89	15.53
109.72	31.15	15.11	18.12
39.62	43.13	18	18.82
45.18	40.17	16.66	21.24
38.84	42.9	14.72	23
55.38	42.05	19.36	21.33
42.66	31.76	14.91	12.89
39.4	31.86	13.34	14.33
48.55	33.11	13.64	17.89
54.3	25.47	17.08	12.56
59.85	24.82	14.52	11.65
63.47	28.48	12.48	12.88
88.53	30.22	13.13	14.12
54.77	32.11	13.44	18.61
97.32	39.05	14.39	20.35
81.52	37.13	15.86	21.65
114.96	35.57	15.93	18.94
209.66	36.46	17.33	15.6
175.24	47.64	21.85	19.46
75.04	42.19	12.75	21.54
38.88	35.33	16.59	17
47.34	41.5	18.23	17.38
45.01	42.24	17.27	19.93
50.96	36.1	17.77	16.14
62.73	50.75	19.76	22.87
68.17	53.19	22.55	30
75.38	58.44	22.31	29.29
81.17	46.57	23.42	25.06
54.06	34.44	22.72	17
25.29	24.11	16.52	11.67
17.73	20.32	15.51	8.22
31.9	22.26	16.44	14.33
49.44	23.72	22.68	19
45.87	24.9	21.43	18.24
26.9	22.26	17.34	15.81
38.53	22.79	21.68	12.94
46.27	21.98	19.52	12.59
42.83	18.97	21.85	14.41
74.84	32.32	27.32	25.89
103.71	41.33	33.09	38.5
111.56	49.58	35.44	39.94
86.64	37.18	25.09	29.06
31.34	23.09	12.9	17.72
45.96	23.15	11.76	17.5
75.89	23.18	14.06	21.61
44.03	21.35	13.8	19.61
26.37	20.28	15.01	19.56
35	18.63	16.34	18.94
29.84	19.11	17.06	20.67
40.77	21.58	18.3	20.65
61.82	26.13	20.14	22.18
91.25	31.56	21.57	28.59
165.8	48.21	33.41	64.41
185	52.43	31.74	79.89
176.13	48.33	28.43	52.63
141.3	39.93	28.12	44.28
82	29.53	22.29	27.28
66.83	25.21	19.71	26.78
57.61	16.56	17.17	26.67
50.6	16.34	13.21	18.56
44.97	24.5	11.01	22.38
108.83	60.25	17.76	45.56
127.09	41.26	14.97	39.06
47.2	20.69	13.79	33.72
98.3	32.21	19.58	39.06
165.59	46.86	27.88	48.5
240.75	60.17	46.92	91.56
244.92	69.04	46.96	102.89
242.75	62.45	36.15	83.88
276.43	63.4	40.03	107.65
255.37	51.66	37.21	101.44
145.13	32.42	28.04	59.56
128.88	23.72	26.74	35.63
119.33	29.58	33.43	27.75
146.62	33.53	44.34	43
132.68	42.57	34.19	29.93
115.52	41.83	34.01	32.87
159.6	48.69	25.46	35.13
100.4	39.4	22.67	25.8
115.63	60.94	33.18	33.6
151.48	75.09	31.48	67.07
165.75	37.75	25.11	54.87
79.18	28.66	20.71	23.31
58.95	24.71	31.23	26.59
192.01	72.13	42.44	63.59
173.15	72.97	44.86	76.06
64.32	35.69	27.48	22.88
52.61	36.6	17.95	21.35
55.07	44.18	19.57	37.06
132.02	51.26	28.05	47.82
26.79	35.07	19.68	20.71
61.65	63.78	26.45	37.06
54.47	54.4	30.95	41.53
84.14	34.82	21.37	29.47
75.11	36.97	22.19	27.24
52.95	36.83	19.32	29.65
100.6	49.81	28.32	34.33
44.6	48.93	23.41	30.39
15.04	31.33	15.81	18.67
16.24	23.73	14.54	15.94
36.52	24.57	18.11	19.28
32.75	26.49	19.84	17.44
35.23	28.13	11.81	19.33
78.97	42.16	36.15	29.06
76.68	31.95	23.18	26.33
69.57	34.96	16.84	26.06
136.4	44.68	37.49	36.67
71.9	23.56	18.35	24.56
112.07	47.66	22.66	38.53
125.9	48.41	29.24	42.76
94.18	38.68	29.13	28.94
100.2	31.92	24.36	29.47
100.85	33.79	27.89	31.06
83.14	30.3	21.21	34.06
75.26	39.69	31.67	31.94
116.87	54.59	37.47	47.31
144.37	49.98	31.37	61
119.21	52.08	34.52	46
38.9	34.64	23.17	18.94
23.35	21.09	13.36	11
33.08	22.96	12.56	14
34.68	23.17	14.92	10.19
29.97	23.37	13.59	13.44
28.81	25.53	12.05	14.38
51	32.44	14.95	21.31
64.36	39.42	19.88	23.5
71.4	35.29	20.79	24
27.01	19.73	13.54	9.4
27.71	15.62	12.09	7.93
27.57	21.86	13.89	12.93
34.56	24.25	16.09	15.2
50.36	29.53	17.86	16.73
62.59	47.55	35.62	29.33
39.33	36.86	21.99	21.31
34	27.37	15.75	15
62.13	30.36	21.78	14.06
71.39	43.28	27.81	37.94
41.16	28.64	21	19.88
29.4	17.28	13.38	15.31
41.39	23.95	14.91	18.38
68.06	28.1	22.09	29.87
70.73	25.5	29.63	21.2
42.85	15.66	22.95	17.33
57.78	26.59	31.46	21.27
68.47	31.28	27.03	26.2
72.22	18.45	26.05	21
54.96	26.55	32.91	22.6
67.56	26.57	33.09	24.19
81.73	26.84	20.93	26
71.05	23.05	26.79	23.73
92.5	27.21	33.8	25.56
96.93	32.09	35.73	29.75
63.3	32.06	49.57	18.5
201.97	58.73	67.16	46.07
174.86	49.76	67.82	34.33
41.47	23.59	31.24	15.4
88	32.16	46.13	22.8
144.42	40.64	41.16	30.47
105	58.33	43.09	40.77
53.11	34.79	40.38	21.79
31.04	18.95	21.82	17.31
40.69	27.35	21.47	18.67
60.83	44.38	28.48	36.75
110.9	65.3	39.67	44.08
102.5	64.84	29.96	37.64
101.46	46	25.01	29.92
173.69	49.28	26.97	32.67
134.14	47.18	53.66	34.25
80	48.65	37.95	35.56
52.99	50.71	27.39	37
52.11	39.55	22.96	29
39.97	27.15	20.91	24.06
43.47	35.28	18.95	24.14
41.07	34.2	19.52	20.86
56.77	40.15	25.82	29.5
74.97	35.55	25.27	18.23
79.61	30.14	19.84	18.23
79.07	36.97	21.44	17.54
43.94	33.63	27.54	14.69
50.16	34.64	23.56	18.92
43.99	32.87	25.48	15.54
56.96	33.33	38.19	22.31
68.88	37.96	28.58	38.08
76.53	35.26	24.18	33.62
85.45	29.76	21.18	33.62
41.03	23.57	15.09	22.57
60.4	32.29	21.15	30.71
39.13	27.11	20.81	20.92
45.47	32.9	24.14	25.23
67	71.83	60.76	41.62
70.7	63.63	49.19	43.38
47.91	49.18	28.01	26.31
63.11	47.71	33.7	27.15
46.9	34.44	24.23	27
64.93	49.45	25.12	40.38
92.93	58.29	31.21	46.62
87.24	63.39	39.89	45.69
80.27	59.77	30.02	44.23
61.31	41.31	20.25	29.46
53.41	24.11	14.89	20.46
84.44	29.23	20	23.83
54.76	36.39	16.62	27.25
45.5	28.88	20.03	25.23
29.25	22.92	14.43	19
33.33	29.6	28.02	21.38
32.73	19.66	9.53	16
43.52	31.18	14.2	28.62
47.77	43.66	16.47	43.54
58.57	32.77	12.75	37.42
55.78	34.19	12.35	43.09
53.38	28.84	10.94	32.18
33.85	25.54	14.04	25.25
22.18	18.85	9.44	21
34.13	28.95	11.81	16.17
40.17	36.7	17.72	17.91
28.33	27.99	15.72	12.75
26.7	26.36	13.79	7.08
30.65	25.66	12.82	8.92
38.6	22.62	11.59	6
56.3	21.13	10.56	6.25
26.75	29.58	14.62	8
34.17	21.93	11.73	6.1
51.24	20.15	10.17	10.9
41.73	40.15	19.05	19.45
31.2	47.79	14.31	24.33
23.1	32.73	14.36	13.25
24.07	31.45	15.47	13.75
36.7	27.47	12.03	13.9
25.87	25.68	11.96	10.8
25.12	29.7	11.34	11.4
31.5	38.74	19.12	16.73
30.08	35.18	17.16	15.9
31.32	38.85	10.4	10.4
35.5	33.68	6.74	10.91
35.3	35.77	9.61	7.45
30.57	28.67	9.86	6.18
35.07	42.08	16.41	14.67
38.1	43.26	24.85	12.82
27.45	54.04	14.71	14.33
31.03	49.13	17.84	11.33
22.81	36.58	17.29	8.67
24.29	33.18	13.18	9.5
17.79	27.28	11.14	7.83
25.61	42.23	12.67	12.15
33.19	51.94	14.96	13.08
37.19	54.01	15.25	19.54
47.67	49.9	18.22	20.08
19.57	21.18	11.02	6.92
18.99	32.79	10.88	10.92
16.8	29.41	10.94	11.38
25.14	36.21	12.02	11.85
23.93	36.05	11.28	12.54
27.27	38.98	12.26	17.54
35.89	51.6	16.04	22.69
33.45	43.46	14.46	20.38
32.93	29.43	16.74	18.57
37.45	31.09	15.16	18.17
31.97	31	13.86	20.38
32.67	34.61	13.66	19.23
31.14	32.76	13.11	18.17
37.44	34.52	14.34	14.92
26.54	33.71	13.76	13.33
25.3	37.42	14.97	14.33
19.87	27.87	14.78	14.44
26.63	47.07	16.28	9.36
30.06	42.97	14.41	10
25.21	35.51	15.66	14.23
31.7	35.43	14.25	13.85
26.99	34.48	16.24	19.31
66.56	37.37	18.08	11.38
20.7	35.66	12.31	13.57
18.29	35.85	13.38	11.36
30.21	48.09	20.68	14.29
35.74	47.46	21.23	13.53
87.99	48.17	16.62	15.8
121.59	29.19	12.7	7.93
50.36	35.08	13.74	13.47
28.09	33.76	11.93	11.07
24.26	29.48	11.96	11.47
23.06	36.17	12.08	11.13
32.81	46.46	14.55	16.33
36.49	44.49	13.05	17.2
39.66	29.17	11.31	12.07
30.84	31.96	11.51	13.2
28.7	33.66	11.96	15.87
34.33	37.01	11.69	16.73
46.68	34.27	10.25	14.47
57.4	36.83	10.33	17.6
42.08	30.73	10.69	13.71
36.5	32.1	11.11	14.29
59.7	31.34	11.25	14.07
19.38	30.28	10.19	9.5
32.68	40.9	11.07	14.86
43.1	46.67	21.27	14.07
45.85	43.39	15.75	14.73
57.95	33.62	15.31	12.93
58.21	29.83	13.21	13.73
46.36	23.06	12.15	13.47
31.34	26.9	10.72	15.2
48.49	49.89	14.08	23.73
66.87	70.08	17.88	24.07
54.73	51.54	13.2	23.27
59.78	52.14	16.47	19.33
69.53	50.07	17.43	24
53.9	52.97	16.84	20.93
45.7	47.41	12.37	18.67
51.71	49.88	16.02	24.67
38.59	37.82	10.52	16.43
41.59	44.56	14.86	21.93
38.31	35.76	18.61	18.57
44.66	25.76	12.11	16.86
18.04	24.19	9.49	16
25.87	32.31	9.26	18.85
28.86	45.28	10.14	24.08
26.91	40.66	15.18	22.92
37.96	44.87	13.75	21.15
28.18	34.39	11.23	20.54
22.38	17.75	9.05	16.75
15.97	27.73	9.79	20.64
31.95	29.78	12.19	19.5
71.32	33.11	11.12	20.33
38.95	33.03	9.34	19.33
27.45	35.31	9.3	19.42
29.1	34.91	13.34	19.75
40.04	27.76	11.48	19.67
26.1	39.46	9.86	19.92
23.75	34.51	10.12	22.07
25.18	45.29	10.3	19.62
31.54	45.83	12.45	18.58
59.08	52.11	17.39	19.42
60.9	47.79	16.15	15.83
60.23	38	13.16	13.33
65.72	47.35	18.19	12.33
47.08	39.64	13.08	13.25
47.03	34.48	10.62	9.58
25.16	31.18	10.72	12.25
31.54	33.1	10.68	12.85
26.24	27.72	9.97	12.08
17.61	28.1	10.2	11
27.04	41.69	11.64	14.62
32.91	45.38	10.74	16.08
31.53	45.71	11.54	12.54
39.82	53	12.29	15
37.08	43.76	8.7	15.15
38.8	35.58	9.66	13.77
34.64	38.33	9.73	14.62
39.16	55.06	11.95	14.85
57.2	66.45	18.06	16.93
72.48	70.29	23.15	15.21
66.85	68.86	17.53	14.64
95.5	75.55	19.28	15.4
67.82	57.64	16.42	13.2
74.28	40.63	12.61	14.13
19.88	26.09	9.21	13.53
24.1	38.18	10.85	12.2
37.07	58.68	11.65	12.47
45.33	65.43	13.32	12.33
50.88	42.62	13.25	13.53
29.86	30.61	14.16	11.87
25.7	26.01	12.67	11
39.31	32.12	12.73	10.27
48.25	39.62	12.88	9.93
69.33	58.68	13.23	11.87
63.33	43.28	11.25	10.47
39.69	42.39	10.53	10.21
55.17	46.04	11.26	11.14
41.76	47.8	11.1	10.79
40.54	35.04	12.78	9.86
35.16	29.18	10.86	12.46
38.74	30.66	12.06	9.54
31.84	30.09	10.94	9.23
35.49	33.17	11.24	8.86
34.23	33.26	10.05	7.43
58.54	30.2	10.83	8.86
33.77	35.03	9.27	8.31
27.83	30.58	12.18	9.08
49.64	35	12.43	8.15
10.95	31.49	9.37	8.77
20.83	44.82	10.93	10.92
33.5	58.9	16.16	10.31
58.24	51.71	20.5	10.38
49.03	54.61	17.85	9.62
79.33	52.31	12.65	9.93
85.78	62.14	19.33	9.29
47	63.49	13.87	9.14
79.73	47.41	10.92	9.23
57.38	49.15	14.04	8.54
92.98	49.76	12.69	9.62
26.12	49.75	9.47	18.25
31.47	36.86	12.26	21.57
43	39.59	8.53	22.57
35.18	50.96	8.49	30.71
44.78	55.01	8.44	30.14
63.84	65.15	12.54	36.29
43.53	52.78	11.76	26.14
45.25	37.29	11.18	19.23
62.8	53.55	9.79	26.4
64.19	46.29	12.18	25.5
47.83	38.16	11.19	22.07
63.73	40.08	11.58	23.29
65.94	35.96	10.41	20.64
60.89	29.79	13.21	20.93
38.93	38.16	12.77	25.21
24.66	34.03	9.4	18.29
34.13	42.09	12.17	22.2
43.14	36.85	11.99	23.47
54.2	57.38	14.16	28.87
66.64	50.78	12.62	30.47
32.73	24.04	10.59	19.27
61.18	51.63	12.26	31.73
102.6	47.01	12.28	33.07
93.05	31.27	9.95	26.07
96.53	34.92	18.46	27.29
89.41	38.77	17.68	30.36
40.13	23.64	10.48	19.64
25.79	19.14	7.47	19.64
28.43	24	8.05	20.85
42.6	34.72	12.07	29.85
56.57	36.85	14.84	32.15
29.82	24.1	10.96	24.85
52.91	54.62	19.72	32.08
51.03	44.94	12.28	25.5
55.12	45.38	14.5	30
28.77	23.75	9.69	18
36.06	34.47	10.18	22.85
27.15	36.54	10.2	24.54
48.85	44.27	17.94	27.54
66.96	46.25	14.84	35.93
56.93	29.7	13.19	23.23
32.9	23.1	11.27	21.77
95.65	48.67	16.97	38.77
87.48	35.36	12.73	30.57
34.81	31.61	10.74	20.79
25.81	29.88	9.99	18.64
63.32	34.98	14.8	23.15
41.86	30.15	18.44	16.92
39.39	23.82	14.16	17.08
39.44	29.29	13.9	20.77
22.13	29.88	12.92	18.08
24.61	26.5	11.41	21
59.12	33.63	18.7	22.62
52.02	34	18.64	28.15
146.87	47.45	21.15	45
172.58	48.18	19.85	55.23
125.02	59.35	25.39	47.42
75.65	54.17	21.85	39.08
49.41	35.1	18.04	29
20.41	34.18	12.5	21.17
27.58	28.03	10.17	21.25
44.66	26.16	12.48	18.09
58.08	28.45	15.7	15.36
22.85	25.28	11.23	15.18
35.84	35.95	15.94	22.18
36.74	32.35	13.18	23.64
56.71	30.99	12.88	23.91
50.59	32.59	15.78	22.82
40.13	24.67	16.77	19.55
56.29	28.97	17.63	21.09
159.66	63.38	38.95	34.64
138.25	45.34	31.44	23.91
51.73	37.18	25.34	17.64
100.58	54.73	33.53	23.36
52.58	34.31	27.47	12.91
42.07	27.77	22.89	10.45
118.17	42.4	22.06	19.64
77.17	30.66	30.88	8.36
23.28	26.53	30.24	8.42
37.99	36.67	28.41	17.85
74.31	38.27	18.22	18.69
122.02	44.84	24.48	30.08
90.2	34.05	21.75	20
102.05	41.9	32.95	22.08
168.75	81.88	40.53	30.92
272.55	100.21	48.34	46.62
277.25	92.82	49.87	48.08
37.19	57.71	30.58	27.23
68.39	47.6	24.75	28.54
41.11	41.51	23.47	22
62.55	42.37	21.97	23.15
116.55	42.79	21.5	24.77
99.49	42.02	25.51	32.99
131.54	52.04	28.64	38.22
97.46	44.77	28.46	37.82
50.96	30.91	26.24	26.28
23.56	23.28	14.78	18.46
31.46	20.98	14.49	18.39
18.68	15.54	13.65	16.2
46.2	29.98	18.27	24.04
112.68	39.36	22.47	23.51
121.79	43.85	30.06	31.37
90.59	37.15	25.29	30.19
38.34	30.66	19.29	20.33
50.2	26.46	22.53	18.82
32.93	21.64	19.55	16.09
33.68	29.83	17.58	17.39
63.5	36.4	19.72	22.39
59.38	31.59	24.91	20.68
34.18	27.67	16.04	18.26
59.93	29.54	22.45	23.87
52.4	31.22	20.94	19.67
33.76	25.38	17.73	15.79
39.93	26.66	15.76	19.53
58.76	34.92	17.08	20.28
45.16	29.79	20.26	15.88
56.1	27.81	14.06	16.39
78.56	27.19	15.64	21.07
85.79	30.01	23.88	20.16
100.43	43.86	27.39	23.25
79.28	40.64	22.51	21.73
103.65	46.18	30.95	25.75
67.48	41.43	27.04	22.52
60.25	36.18	25.88	21.25
34.88	26.9	19.96	17.34
21.56	23.01	13.21	18.81
49.98	36.71	23.93	20.82
76.6	42.06	25.88	25.01
54.64	37.25	23.47	21.74
34.86	24.44	17.16	20.69
52.81	25.15	18.46	20.59
65.89	23.09	17.37	16.69
61.24	22.38	16.43	16.76
89.79	35.88	32.41	19.03
38.59	23.77	27.06	16.76
35.36	21.89	20.19	12.95
58.81	24	17.51	13.64
81.76	22.82	23.95	14.64
102.42	23.01	19.13	17.91
93	24.72	18.7	15.85
71.06	26.12	22.48	12.56
78.61	26.42	18.66	15.68
101.58	30.94	24.8	14.07
45.74	28.56	15.67	12.88
64.19	36.02	19.04	18.09
79.51	22.02	15.52	12.26
16.21	13.88	11.65	12.05
17.65	19.53	14.22	11.58
23.05	22.79	13.39	15.74
32.75	28.06	15.19	23.7
93.7	40.17	25.62	37.24
128.3	42.33	31.83	31.71
63.58	36.59	18.74	30.93
110	42.93	29.96	32.57
76.8	40.46	21.14	30.73
70.16	36.03	21.94	30.07
56	27.57	18.22	19.67
38.2	32.37	16.17	19
67.23	48.09	22.91	22
49.14	42.12	20.07	23.27
39.56	36.83	17.37	18.33
64.7	38.94	14.84	21.2
38.3	38.27	15.97	15.47
34.1	35.76	15.12	14.93
30.16	28.02	14.3	12.69
43.58	25.87	14.76	11
49.33	28.05	17.48	10.43
50.08	32.73	23.21	12.64
40.6	21.62	17.46	13.57
29.21	32.94	14.83	12.93
37.56	35.48	16.07	12.53
33.63	26.83	12.51	10.8
39.37	22.98	12.77	13.47
48.96	23.5	13.09	14.73
38.2	21.4	14.18	12.67
42.97	20.03	14.01	14.4
36.9	29.42	13.81	22.57
47.65	31.11	14.62	25.67
35.36	22.46	16.16	23.6
21.35	18.14	13.56	20.07
36.33	23.16	14.08	24.53
38.41	21.07	11.62	21.07
48.76	30.74	14.73	22.4
54.2	28.61	17.72	20.87
29.43	24.48	16.17	20.73
44.44	28.62	16.74	19
44.62	27.16	16.07	20.2
33.73	24.43	11.97	19
36.77	21.08	10.77	17.67
31.41	28.92	14.15	17.79
21.31	27.88	15.05	19.38
35.68	33.86	13.43	20.93
30.09	36.6	16.12	20.79
28.09	37.61	17.55	19.79
27	36.36	12.14	20.64
26.43	33.47	11.52	20.43
25.49	33.89	11.36	18.21
51.7	45.15	14.62	20.67
45.13	45.27	13.02	19.67
43.29	42.96	14.71	19.2
46.03	41.03	12.73	18.21
53.54	46.74	13.76	17.79
55.32	44.49	16.28	20.14
41.23	28.42	12.56	20.57
32.13	43.01	12.98	21.93
36.78	55.08	15.71	24.87
42.64	56.94	15.8	24.67
47.81	56.84	15.46	27.67
33.96	38.09	13.05	23.27
34.91	34.44	14.23	22.07
47.73	52.08	16.21	26.07
63.87	46.9	18.03	25.21
56.36	33.26	16.17	22.71
50.74	28.26	13.91	20.92
39.74	28.73	15.08	18.67
42.24	34.67	12.93	22
38.26	28.33	11.56	21.5
33.8	22.16	11.91	21.08
43.03	32.67	12.1	32.91
29.36	30.99	12.21	23.97
33.65	30.16	11.52	19.67
24.03	38.3	12.77	21
30.53	33.19	12.44	19.13
22.96	22.56	10.22	19.33
23.76	25.67	10.04	18.38
24.93	30.46	10.88	19.31
29.91	39.25	12.55	19.06
22.16	35.04	12.07	19.19
25.9	31.57	12.96	19.5
21.64	34.27	15.05	20
44.06	32.49	9.78	21.31
24.55	32.39	11.62	20.13
22.03	30.34	13.29	20.56
17.36	24.06	12.15	20.07
16.25	26.81	11.19	19.2
22.51	26.01	12.81	20.73
15.78	25.9	8.93	20.67
21.61	24.94	13.63	20.13
14.8	27.21	15.96	19.4
16.09	30.86	17.85	25.47
36.79	29.75	13.54	22.2
33.49	35.14	12.67	24.2
24.29	33.95	14.64	25.27
15.25	32.86	14.58	22.4
19.49	28.92	11.95	22
20.49	24.25	11.21	18.67
11.9	25.26	11.39	12.43
20.49	27.63	11.06	14.07
37.54	30.89	11.94	15.47
33.76	28.24	11.54	13.33
32.57	27.07	11.74	13.07
34.89	26.56	13.85	14.93
29.47	29.14	13.91	16.21
23.03	29.18	15.56	13.57
27.74	25.35	11.38	11.36
26.43	29.23	9.7	14.6
29.18	32.66	8.39	16.14
29.81	35.86	11.12	15.64
32.54	35.98	9.9	16.5
32.18	43.18	9.99	17
39.81	49.28	13.92	18.81
41.08	50.81	11.41	19
41.2	35.44	12.08	17.13
45.38	33.22	11.42	18.25
52.24	31.97	10.26	20.75
30.81	28.15	10.89	18.44
30.7	27.17	8.52	21.47
17.06	26.41	5.94	21.6
13.16	24.93	6.5	20
18.9	27.41	7.56	21.06
25.75	32.73	9.48	21.81
26.3	32.19	6.99	23.75
21.01	21.05	7.24	21.5
20.31	24.09	8.31	21.57
27.54	30.22	8.3	22.21
35.61	36.52	18.14	25.2
39.56	38.04	18.15	26
36.21	35	13.44	27.13
33.31	28.52	12.99	24.31
36.16	22.94	14.55	22.69
35.05	25.9	11.65	23.5
33.05	22.69	9.31	22.75
29.05	23.29	10.05	22.93
31.13	24.29	11.25	22.4
21.53	27.49	9.04	22.29
21.96	25.74	8.44	22.79
22.91	22.99	8.1	23.79
27.59	21.77	8.53	24.14
30.34	20.31	7.09	21.87
24.83	27.2	9.65	25
31.06	33.97	10.24	30.44
32.48	35.76	14.9	28.38
34.34	31.22	11.23	25.88
18.35	20.25	7.98	21.75
20.97	30.19	9.89	25.63
26.53	33.68	12.88	28.44
29.38	38.96	13.49	28.13
41.84	44.57	11.9	31.13
38.96	39.68	9.35	32.56
34.28	40.39	10.95	29.88
32.25	40.69	11.05	33.31
50.51	42.52	19.24	34.44
28.96	30.71	9.89	27.88
23.38	29.24	9.99	24.2
47.81	35.48	9.57	21.46
34.69	44.54	11.31	22.45
36.96	47.58	13.49	25.31
38.13	41.45	12.11	22.97
32.01	46.22	9.46	22.07
39.31	56.44	10.67	27.61
42.34	51.5	11.55	23.09
37.34	41.57	9.73	20.46
29.24	34.56	10.28	19.19
38.9	31.61	14.34	18.44
21.85	32.84	10.49	17.77
30.65	44.07	9.07	21.9
38.92	46.6	14.34	23.01
20.58	31.68	6.87	17.69
87.13	35.53	7.33	19.28
32.72	42.02	11.6	21.27
36.62	39.19	11.29	20.51
55.18	47.21	18.2	21.55
41.76	40.77	12.48	19.32
38.58	37.37	12.38	17.38
42.5	32.51	8.85	18.09
58.52	32.69	12.15	20.55
92.39	32.73	9.45	20.08
39.18	31.29	13.16	19.2
32.2	30.29	10.29	19.52
41.3	35.34	10.58	19.28
45.37	35.21	8.71	20.91
48.53	33.89	12.54	19.86
26.12	34.56	8.05	19.82
146.8	38.87	9.58	21.67
273.77	41.54	8.9	25.36
36.86	33.48	12.99	23.4
30.63	31.46	10.16	19.07
18.54	31.85	9.38	21.15
31.68	39.18	14.54	19.6
30.04	52.8	13.12	26.8
29.88	53.48	12.6	19.5
30.23	52.35	11.55	18.93
28.15	58.42	15.63	20.57
41.56	57.27	12.71	20.44
44.21	44.53	13.18	16.06
37.35	36.93	10.92	12.69
31.05	33.42	9.86	13.2
21.61	27.83	11.24	9.69
12.58	32.29	11.46	10.44
25.41	42.14	15.64	15
29.43	43	16.91	16
16.5	30.56	10.62	10.13
16.31	33.45	13.76	10.93
16.17	34.97	11.42	12.56
23.06	36.88	12.38	13.63
20.75	32.49	10.4	12.63
22.54	29.55	10.3	11.06
22.81	28.88	10.77	12.75
23.64	31	11.09	11.44
40.34	49.51	15.75	23.75
42.39	50.09	14.49	23
29.81	33.59	10.23	18.6
42.98	30.58	11.98	19.87
45.48	25.37	11.42	18.33
17.25	21.24	9.91	19.69
35.29	23.28	9	17.12
35.88	20.3	8.01	13.36
30.08	25.82	9.56	13.06
53.6	32.08	12.34	19.19
56.44	31.47	11.1	16.48
55.94	26.09	12.08	12.38
64.07	34.84	16.27	16.99
46.32	29.34	11.25	15.95
50.82	26.71	11.08	17.87
56.67	35.52	13.11	21.81
29.93	33.74	10.15	21.36
37.76	31.88	10.19	18
34.71	29.12	12.32	17.01
70.31	40.4	14.61	21.36
68.1	37.8	16.12	20.11
29.3	31.3	12.97	17.92
28.95	23.58	11.15	13.47
32.35	29.3	11.51	15.48
33.74	32.56	13.73	14.86
29.46	37.62	15.7	16.28
49.68	41.52	14.91	19.31
53.24	46.1	15.33	18.16
40.21	28.71	13.06	12.75
45.89	28.67	16.11	11.22
107.56	45.85	18.74	18.19
116.91	49.49	18.06	21.21
110.11	48.18	16.93	23.08
73.8	41.78	17.01	14.93
64.19	47.12	17.56	18.17
55.53	36.26	12.58	14.75
57.51	35.59	13.12	15.06
55.83	30.63	13.73	12.14
53.56	39.85	16.31	13.57
35.03	33.97	14.48	13.14
19.36	30.57	12.23	10.5
29.07	27.73	11.99	9.93
32.68	36.09	15.85	13
