pm10	no2	so2	soot
27.6	28.78	7.62	20.94
32.57	31.81	7.66	25.11
29.1	32.51	8.18	26.72
31.2	39.67	7.92	28.94
29.78	41.39	9.16	27.59
36.02	33.29	6.11	27.28
40.15	24.14	6.5	19.61
33.95	32.85	7.11	23.53
33.63	35.14	6.49	26.44
18.25	29.13	5.71	21
20.12	26.85	5.39	19.32
22.6	27.75	5.95	16.84
43.65	28.93	6.85	20.84
37.55	29.46	5.92	23.74
32.33	25.63	7.3	21.05
30.88	26.13	7.29	20.89
29.8	28.1	5.51	21.11
24.65	32.67	7.27	26.33
29.55	29.96	7.25	30.67
29.72	26.69	5.99	24.72
30.88	31.33	6.13	27.72
39.03	38.27	6.83	39.94
39.1	34.01	6.35	30.44
35.33	28.55	5.99	19.72
30.78	36.65	6.29	27.44
43.18	38.34	8.73	32.05
49.65	38.41	7.46	31.63
29.47	23.64	5.69	20.58
29.02	23.46	6.37	15.63
32.68	28.01	7.14	20.28
29.15	27.35	6.55	16.61
44.52	41.29	9.12	33.78
41.08	37.14	8.82	26.28
34.68	33.48	7.44	18.61
23.5	27.46	5.82	13.56
16.6	34.98	6.45	18.44
37.23	26.58	9.04	22.71
35.1	32.8	10.45	27.29
45.34	35.99	10.46	36.89
38.91	31.69	8.58	31.79
31.07	23.5	9.45	16.05
21.63	23.52	9.79	16.26
25.56	24.69	9.5	15.79
26.8	28.13	9.64	17.79
36.16	35.44	10.63	22.11
44.6	38.62	10.66	28.11
41.44	39.32	12.22	21
36.16	33.64	9.88	16.74
35.67	35.21	10.07	16.95
33.06	31.85	8.76	15.47
27.33	32.64	8.38	15.53
27.23	29.51	8.26	13.95
27.59	23.78	10.87	12.95
35.89	26.81	8.38	16.56
44.86	25.72	8.4	15.44
29.77	21.58	8.75	13.28
30.96	28.73	15.06	17.83
57.3	36.37	12.94	44.11
58.61	40.18	13.67	46.53
72.41	41.48	16.95	49.74
56.54	31.14	11.12	27.68
46.89	30.41	11.38	23
51.53	27.79	7.96	22.84
45.69	28.56	8.81	26.05
65.01	32.13	12.03	29.58
67.43	33.04	12.4	22.16
62.53	32.34	13.1	25.41
46.23	29.15	8.77	18.01
41.7	26.28	8.47	15.48
47.73	31.35	8.11	19.16
55.2	31.54	11.81	32.88
58.04	35.99	13.56	46.51
59.5	37.69	14.54	45.46
58.47	39.41	13.25	35.6
68.49	36.33	12.65	38.73
67.77	27.29	10.57	24.49
51.94	20.87	7.33	16.07
24.83	23.61	7.41	17.44
43.67	20.29	6.35	15.37
35.4	19.31	8.12	17.98
45.07	21.77	11.14	22.47
40.04	24.65	10.74	20.88
59.6	23.75	14.85	23.85
30.63	20.7	7.92	15.94
34.59	22.57	8.2	19.57
56.49	27.55	16.01	22.97
62.83	35.17	16.8	38.48
33.43	25.69	11.46	17.85
33.87	22.43	9.38	19.12
37.84	19.87	9.04	18.92
39.01	22.68	8.4	20.68
47.46	22.98	9.35	20.2
53.29	18.48	8.85	20.99
40.2	18.45	10.05	20.79
46.99	20.68	9.38	19.44
42.69	20.21	7.47	19.79
34.79	20.26	7.42	22.27
84.77	25.26	17.41	22.72
46.31	22.39	12.91	15.59
37.93	21.1	9.2	16.06
42.17	21.92	12.92	15.44
37.96	22.86	14.88	17.44
36.4	25.35	12.02	14.65
42.59	26.24	11.51	24.18
43.39	25.06	10.21	19.94
35.03	27.33	12.52	27.35
29.26	20.64	10.11	15.13
22.59	19.9	9.03	15.76
46.01	25.07	12.18	32.82
80.77	33.71	21.26	67
103.1	36.28	22.09	78.69
41.54	29.37	15.23	31.12
83.74	35.91	20.84	77
75.59	34.85	17.12	51.31
91.5	41.48	18.14	65.31
93.13	39.99	17.11	54.94
125.61	47.05	19.54	70.6
119.37	46.87	20.23	54.67
78.31	35.85	14.13	23.2
100	37.37	19.76	36.07
127.2	40.72	24.14	69.87
103.84	40.82	23.23	54.27
110.46	43.69	23.03	64.33
101.63	39.73	26.96	63.82
51.34	38.4	17.15	26.35
42.81	41.32	15.24	19.82
43.37	38.79	15.24	15.5
19.93	18.78	9.43	12.69
25.21	19.95	8.72	15.38
42.41	17.94	10.58	18.13
51.86	19.47	14.17	17.32
38.05	16.15	9.63	16.53
49.78	19.94	10.11	18.74
80.49	19.3	19.37	26.25
76.74	18.19	15.01	23.02
25.86	19.35	16.13	21.69
52.83	23.99	12.51	20.69
49.26	29.99	14.75	20.39
31.85	22.5	11.06	15.66
35.2	24.68	13.2	15.84
39.49	23.11	18.13	18.21
40.13	19.04	30.23	14.72
48.73	21.21	15.82	17.43
69.81	22.2	18.49	17.42
68.06	23.01	20.7	20.97
95.86	23.85	27.15	26.63
84.06	23.04	30.33	26.71
101.3	49.31	45.36	34.99
41.07	20.94	27.26	14.82
45.66	22.73	22.21	26.53
38.16	19.65	18.32	15.34
32.07	21.68	17.37	23.27
20.03	19.2	13.43	16.27
18.18	18.27	11.78	12.76
52.72	29.58	18.31	38.75
92.82	31.19	30.75	45.49
53.03	29.45	20.16	28.25
24.4	30.23	17.57	24.09
25.58	12.92	8.34	12.57
19.15	9.85	5.42	11.57
12.03	9.74	5.45	12.71
29.55	19.75	13.62	16
20.48	13.84	8.56	12.5
24.37	16.22	10.59	13.64
46.03	15.21	12.46	15.57
41.95	14.43	12.11	14.71
22.78	14.17	8.04	13.29
26.2	19.12	9.22	16.86
34.28	19.01	16.18	20.64
72.13	31.76	24.77	45.86
77.28	26.22	20.75	32.93
59.6	22.27	21.37	21.93
68.18	20.12	22.31	27.14
54.45	17.44	17.86	19.64
35.18	15.29	15.72	16.07
44.7	17.79	18.55	22.79
53.18	18.12	16.82	20.29
49.53	21.94	18.65	22.33
46.48	20.3	19.23	21.08
51.43	22.23	28.28	24.15
82.13	24.66	25.54	27.54
94.2	23.12	30.35	26.08
75.83	23.76	27.86	20.31
66.7	25.58	22.16	20.29
64.8	25.73	40.54	16.64
104.36	27.14	33.75	21
145.38	35.88	45.38	38.07
35.8	19.22	21.59	11.21
41.1	25.21	19.55	11.71
34.74	24.08	17.03	14.38
80.1	29.56	25.06	24.13
59.43	29.66	21.41	23.75
95.14	32.62	24.84	32
71.44	20.11	20.6	13.06
30.49	14.81	10.68	11.94
39.1	15.91	10.88	12.27
62.86	17.11	14.64	15.27
88	24.94	22.66	19.33
45.14	16.19	23.31	14.5
47.76	18.93	16.2	16.67
67.07	19.48	16.73	20.27
44.79	13.89	13.71	14.93
117.22	25.3	20.26	30.93
101.53	22.93	16	31.87
172.83	38.92	34.18	46.06
64.1	21.01	18.73	19.27
105.23	32.41	21.06	60.63
30.54	21.82	15.13	16.88
